date_received,status,borough,major_category,minor_category,problem_status,problem_code,post_code,type,time_to_close
2023-01-01 06:19:31,CLOSE,BRONX,WATER LEAK,HEAVY FLOW,CLOSE,AT WALL OR CEILING,10468,EMERGENCY,17
2023-01-01 06:24:29,CLOSE,BROOKLYN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,11236,EMERGENCY,3
2023-01-01 06:25:59,CLOSE,BROOKLYN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,11236,EMERGENCY,3
2023-01-01 06:27:30,CLOSE,BROOKLYN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,11236,EMERGENCY,3
2023-01-01 06:29:15,CLOSE,BROOKLYN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,11236,EMERGENCY,3
2023-01-01 06:31:01,CLOSE,BROOKLYN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HOT WATER,11238,EMERGENCY,1
2023-01-01 06:33:09,CLOSE,BROOKLYN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,11234,EMERGENCY,4
2023-01-01 06:33:48,CLOSE,BROOKLYN,WATER LEAK,SLOW LEAK,CLOSE,AT WALL OR CEILING,11226,NON EMERGENCY,14
2023-01-01 06:36:04,CLOSE,BROOKLYN,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HEAT,11226,EMERGENCY,1
2023-01-01 06:58:59,CLOSE,BRONX,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT AND NO HOT WATER,10467,EMERGENCY,2
2023-01-01 06:59:47,CLOSE,MANHATTAN,APPLIANCE,REFRIGERATOR,CLOSE,BROKEN DOOR SEAL,10010,NON EMERGENCY,53
2023-01-01 07:02:12,CLOSE,BROOKLYN,UNSANITARY CONDITION,PESTS,CLOSE,MICE,11226,NON EMERGENCY,22
2023-01-01 07:02:12,CLOSE,BROOKLYN,UNSANITARY CONDITION,PESTS,CLOSE,ROACHES,11226,NON EMERGENCY,22
2023-01-01 07:02:12,CLOSE,BROOKLYN,PLUMBING,BATHTUB/SHOWER,CLOSE,FAUCET BROKEN/MISSING/LEAKING,11226,NON EMERGENCY,22
2023-01-01 07:02:12,CLOSE,BROOKLYN,DOOR/WINDOW,WINDOW FRAME,CLOSE,LOOSE OR DEFECTIVE,11226,EMERGENCY,22
2023-01-01 07:08:26,CLOSE,MANHATTAN,APPLIANCE,REFRIGERATOR,CLOSE,BROKEN DOOR SEAL,10010,NON EMERGENCY,53
2023-01-01 07:08:26,CLOSE,MANHATTAN,GENERAL,VENTILATION SYSTEM,CLOSE,BROKEN OR MISSING,10010,NON EMERGENCY,53
2023-01-01 07:10:15,CLOSE,MANHATTAN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT AND NO HOT WATER,10025,EMERGENCY,0
2023-01-01 07:16:47,CLOSE,BRONX,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT AND NO HOT WATER,10458,EMERGENCY,2
2023-01-01 07:18:05,CLOSE,QUEENS,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,11102,EMERGENCY,5
2023-01-01 07:18:46,CLOSE,BRONX,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,10468,EMERGENCY,1
2023-01-01 07:22:05,CLOSE,BROOKLYN,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HOT WATER,11207,EMERGENCY,3
2023-01-01 07:22:41,CLOSE,BROOKLYN,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HEAT,11225,EMERGENCY,1
2023-01-01 07:26:55,CLOSE,QUEENS,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,11435,EMERGENCY,5
2023-01-01 07:36:56,CLOSE,MANHATTAN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT AND NO HOT WATER,10040,EMERGENCY,3
2023-01-01 07:43:41,CLOSE,BROOKLYN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HOT WATER,11249,EMERGENCY,3
2023-01-01 07:43:46,CLOSE,BRONX,PLUMBING,WATER SUPPLY,CLOSE,NO WATER,10456,IMMEDIATE EMERGENCY,4
2023-01-01 07:46:09,CLOSE,BROOKLYN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT AND NO HOT WATER,11226,EMERGENCY,5
2023-01-01 07:46:09,CLOSE,BRONX,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT AND NO HOT WATER,10453,EMERGENCY,3
2023-01-01 07:46:09,CLOSE,BROOKLYN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT AND NO HOT WATER,11212,EMERGENCY,4
2023-01-01 07:46:29,CLOSE,BROOKLYN,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HEAT,11210,EMERGENCY,2
2023-01-01 07:50:01,CLOSE,BRONX,FLOORING/STAIRS,FLOOR,CLOSE,TILE BROKEN OR MISSING,10457,NON EMERGENCY,61
2023-01-01 07:50:01,CLOSE,BRONX,APPLIANCE,REFRIGERATOR,CLOSE,BROKEN DOOR SEAL,10457,NON EMERGENCY,61
2023-01-01 07:50:01,CLOSE,BRONX,DOOR/WINDOW,WINDOW PANE,CLOSE,GLASS BROKEN OR MISSING,10457,EMERGENCY,61
2023-01-01 07:50:01,CLOSE,BRONX,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HEAT,10457,EMERGENCY,61
2023-01-01 07:50:01,CLOSE,BRONX,APPLIANCE,ELECTRIC/GAS RANGE,CLOSE,NO GAS OR ELECTRICITY,10457,NON EMERGENCY,61
2023-01-01 07:50:01,CLOSE,BRONX,PLUMBING,BASIN/SINK,CLOSE,BASIN MISSING,10457,NON EMERGENCY,61
2023-01-01 07:53:17,CLOSE,BROOKLYN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,11234,EMERGENCY,4
2023-01-01 07:54:43,CLOSE,BROOKLYN,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HEAT,11223,EMERGENCY,3
2023-01-01 07:54:49,CLOSE,BROOKLYN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,11230,EMERGENCY,3
2023-01-01 07:56:59,CLOSE,BRONX,WATER LEAK,HEAVY FLOW,CLOSE,AT WALL OR CEILING,10457,EMERGENCY,43
2023-01-01 08:00:20,CLOSE,BRONX,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HEAT,10458,EMERGENCY,2
2023-01-01 08:01:18,CLOSE,BRONX,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,10458,EMERGENCY,2
2023-01-01 08:16:00,CLOSE,BROOKLYN,UNSANITARY CONDITION,PESTS,CLOSE,MICE,11224,NON EMERGENCY,7
2023-01-01 08:18:14,CLOSE,MANHATTAN,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HEAT AND NO HOT WATER,10032,EMERGENCY,2
2023-01-01 08:22:00,CLOSE,BRONX,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT AND NO HOT WATER,10467,EMERGENCY,3
2023-01-01 08:22:40,CLOSE,MANHATTAN,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HEAT AND NO HOT WATER,10034,EMERGENCY,2
2023-01-01 08:22:54,CLOSE,BRONX,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT AND NO HOT WATER,10473,EMERGENCY,3
2023-01-01 08:23:04,CLOSE,BRONX,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HOT WATER,10467,EMERGENCY,3
2023-01-01 08:23:23,CLOSE,BROOKLYN,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HEAT AND NO HOT WATER,11220,EMERGENCY,3
2023-01-01 08:24:35,CLOSE,MANHATTAN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,10017,EMERGENCY,2
2023-01-01 08:25:40,CLOSE,BRONX,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT AND NO HOT WATER,10452,EMERGENCY,3
2023-01-01 08:26:46,CLOSE,BRONX,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT AND NO HOT WATER,10467,EMERGENCY,3
2023-01-01 08:29:13,CLOSE,MANHATTAN,UNSANITARY CONDITION,PESTS,CLOSE,ROACHES,10040,NON EMERGENCY,53
2023-01-01 08:29:13,CLOSE,MANHATTAN,WATER LEAK,DAMP SPOT,CLOSE,FROM WALL OR CEILING,10040,NON EMERGENCY,53
2023-01-01 08:29:13,CLOSE,MANHATTAN,WATER LEAK,SLOW LEAK,CLOSE,AT WALL OR CEILING,10040,NON EMERGENCY,53
2023-01-01 08:29:17,CLOSE,MANHATTAN,UNSANITARY CONDITION,PESTS,CLOSE,ROACHES,10040,NON EMERGENCY,53
2023-01-01 08:31:30,CLOSE,BROOKLYN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,11214,EMERGENCY,3
2023-01-01 08:36:09,CLOSE,MANHATTAN,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HOT WATER,10023,EMERGENCY,2
2023-01-01 08:38:28,CLOSE,BRONX,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,10471,EMERGENCY,3
2023-01-01 08:40:57,CLOSE,BRONX,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,10461,EMERGENCY,3
2023-01-01 08:46:01,CLOSE,BRONX,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HEAT,10469,EMERGENCY,0
2023-01-01 08:46:42,CLOSE,BRONX,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,10470,EMERGENCY,2
2023-01-01 08:48:44,CLOSE,BRONX,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HEAT,10469,EMERGENCY,0
2023-01-01 08:49:25,CLOSE,MANHATTAN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT AND NO HOT WATER,10031,EMERGENCY,2
2023-01-01 08:50:22,CLOSE,BRONX,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HEAT,10469,EMERGENCY,0
2023-01-01 08:52:24,CLOSE,BRONX,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HEAT,10469,EMERGENCY,0
2023-01-01 08:52:51,CLOSE,BRONX,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,10461,EMERGENCY,3
2023-01-01 08:56:42,CLOSE,BRONX,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HEAT,10469,EMERGENCY,0
2023-01-01 08:56:45,CLOSE,BROOKLYN,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,CLOSE,ACCUMULATION,11207,NON EMERGENCY,121
2023-01-01 08:59:57,CLOSE,BRONX,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HEAT,10469,EMERGENCY,0
2023-01-01 09:05:13,CLOSE,BROOKLYN,WATER LEAK,HEAVY FLOW,CLOSE,AT WALL OR CEILING,11236,EMERGENCY,3
2023-01-01 09:05:35,CLOSE,BRONX,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,10462,EMERGENCY,3
2023-01-01 09:06:56,CLOSE,BROOKLYN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT AND NO HOT WATER,11213,EMERGENCY,2
2023-01-01 09:09:14,CLOSE,BRONX,WATER LEAK,SLOW LEAK,CLOSE,AT WALL OR CEILING,10462,NON EMERGENCY,38
2023-01-01 09:09:14,CLOSE,BRONX,UNSANITARY CONDITION,MOLD,CLOSE,N/A,10462,EMERGENCY,38
2023-01-01 09:11:43,CLOSE,BROOKLYN,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,CLOSE,ACCUMULATION,11213,NON EMERGENCY,2
2023-01-01 09:12:39,CLOSE,BRONX,PLUMBING,WATER SUPPLY,CLOSE,NO WATER,10460,EMERGENCY,17
2023-01-01 09:12:55,CLOSE,QUEENS,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,11373,EMERGENCY,4
2023-01-01 09:18:29,CLOSE,BRONX,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,10452,EMERGENCY,2
2023-01-01 09:19:27,CLOSE,BRONX,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HOT WATER,10462,EMERGENCY,3
2023-01-01 09:21:34,CLOSE,BROOKLYN,WATER LEAK,HEAVY FLOW,CLOSE,AT WALL OR CEILING,11226,EMERGENCY,86
2023-01-01 09:21:34,CLOSE,BROOKLYN,UNSANITARY CONDITION,PESTS,CLOSE,FLIES,11226,NON EMERGENCY,86
2023-01-01 09:21:34,CLOSE,BROOKLYN,PAINT/PLASTER,CEILING,CLOSE,CHIPPED/PEELING/FLAKING,11226,NON EMERGENCY,86
2023-01-01 09:21:34,CLOSE,BROOKLYN,PAINT/PLASTER,WALL,CLOSE,CHIPPED/PEELING/FLAKING,11226,NON EMERGENCY,86
2023-01-01 09:23:08,CLOSE,MANHATTAN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,10032,EMERGENCY,3
2023-01-01 09:28:17,CLOSE,BRONX,PAINT/PLASTER,CEILING,CLOSE,COLLAPSING OR FALLING,10466,IMMEDIATE EMERGENCY,5
2023-01-01 09:29:02,CLOSE,BRONX,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HOT WATER,10454,EMERGENCY,3
2023-01-01 09:30:41,CLOSE,BRONX,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HEAT,10461,EMERGENCY,1
2023-01-01 09:32:45,CLOSE,BRONX,DOOR/WINDOW,WINDOW FRAME,CLOSE,LOCK BROKEN OR MISSING,10457,NON EMERGENCY,17
2023-01-01 09:32:45,CLOSE,BRONX,DOOR/WINDOW,WINDOW PANE,CLOSE,GLASS BROKEN OR MISSING,10457,EMERGENCY,17
2023-01-01 09:36:51,CLOSE,MANHATTAN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,10019,EMERGENCY,2
2023-01-01 09:37:08,CLOSE,BRONX,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT AND NO HOT WATER,10463,EMERGENCY,3
2023-01-01 09:37:26,CLOSE,QUEENS,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HOT WATER,11373,EMERGENCY,1
2023-01-01 09:37:37,CLOSE,BROOKLYN,ELECTRIC,POWER OUTAGE,CLOSE,MULTIPLE ROOMS OR AREAS,11221,NON EMERGENCY,32
2023-01-01 09:37:37,CLOSE,BROOKLYN,ELECTRIC,NO LIGHTING,CLOSE,ONE ROOM OR AREA,11221,EMERGENCY,32
2023-01-01 09:39:10,CLOSE,MANHATTAN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT AND NO HOT WATER,10032,EMERGENCY,3
2023-01-01 09:40:57,CLOSE,BRONX,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT AND NO HOT WATER,10452,EMERGENCY,3
2023-01-01 09:49:27,CLOSE,MANHATTAN,ELECTRIC,POWER OUTAGE,CLOSE,ENTIRE BUILDING,10021,IMMEDIATE EMERGENCY,4
